match_score,match_method,jjm_village,lgd_village,shrug_village,shrug_place,jjm_district,shrug_district,jjm_block,shrug_subdistrict,jjm_panchayat,jjm_village_id,lgd_village_id,jjm_panchayat_id,shrid2
100.0,manual,Kotgyal,Kotgiyal,kotgyal,kotgyal,Bidar,bidar,Bhalki,aurad,Nittur (b),145624,599888,60830,11-29-558-05456-600002
100.0,manual,GUNDLAHALLI,GUNDLAHALLY(M),gundlahalli,gundlahalli,Chikkaballapura,chikkaballapura,Gudibanda,gauribidanur,SOMENAHALLI,154772,926163,62603,11-29-582-05595-623343
100.0,manual,NALLARALLAHALLI,NALLARALLAHALLI,nallarallahalli,nallarallahalli,Chikkaballapura,chikkaballapura,Chintamani,sidlaghatta,MINDIGAL,664947,917236,299794,11-29-582-05599-624067
100.0,manual,THOKALAHALLI,Thokalahalli,thokalahalli,thokalahalli,Chikkaballapura,chikkaballapura,Sidlaghatta,gauribidanur,THIMMANAYAKANAHALLI,665126,624094,62703,11-29-582-05595-623309
100.0,manual,YALAGALAHALLI,YALAGALAHALLI,yalagalahalli,yalagalahalli,Chikkaballapura,chikkaballapura,Sidlaghatta,chikkaballapura,DIBBURAHALLI,155760,926194,62704,11-29-582-05596-623456
100.0,manual,Byrapura,Byrapura,byrapura,byrapura,Chitradurga,chitradurga,Molakalmuru,hosdurga,Chikkirahalli,170195,605191,65353,11-29-566-05507-605873
100.0,manual,Doddagatta,Doddagatta,doddagatta,doddagatta,Chitradurga,chitradurga,Chitradurga,hosdurga,Turuvanur,663987,605501,65227,11-29-566-05507-605905
100.0,manual,Garaga,Garaga,garaga,garaga,Chitradurga,chitradurga,Holalkere,hosdurga,SHIVAGANGA,589825,605724,65327,11-29-566-05507-605984
100.0,manual,Halumadenahalli,Haladyamenahalli,halumadenahalli,halumadenahalli,Chitradurga,chitradurga,Hiriyur,hiriyur,Yelladakere,169566,606150,65264,11-29-566-05508-606196
100.0,manual,Hosakere,HOSAKERE,hosakere,hosakere,Chitradurga,chitradurga,Hosdurga,hiriyur,Thandaga,663963,927609,65294,11-29-566-05508-606104
100.0,manual,Ankanahalli,Ankanahalli,ankanahalli,ankanahalli,Hassan,hassan,Hassan,hassan,Ankapura,152553,616188,62285,11-29-574-05556-616126
100.0,manual,Byadarahalli,Byadarahalli,byadarahalli,byadarahalli,Hassan,hassan,Arsikere,hassan,PURALEHALLI,151440,615586,62184,11-29-574-05556-616116
100.0,manual,C. Hosahalli,C.HOSAHALLI,c hosahalli,c hosahalli,Hassan,hassan,Belur,alur,IBBEDU,151902,615309,62221,11-29-574-05557-616323
100.0,manual,Gollarahalli,Gollarahalli,gollarahalli,gollarahalli,Hassan,hassan,Arsikere,arsikere,BELAGUMBA,151197,615748,62165,11-29-574-05555-615788
100.0,manual,Guddenahalli,Guddenahalli (OG),guddenahalli,guddenahalli,Hassan,hassan,Hassan,arsikere,Handinakere,152531,616231,62283,11-29-574-05555-615835
100.0,manual,Hirebelaguli,Hirebelaguli Hantha,hirebelaguli,hirebelaguli,Hassan,hassan,Holenarsipur,hole narsipur,Kattebelaguli,152913,616812,62327,11-29-574-05559-616811
100.0,manual,Kodihalli,Kodihalli,kodihalli,kodihalli,Hassan,hassan,Belur,belur,Bichodu,151762,615436,62211,11-29-574-05554-615283
100.0,manual,Yadiyur,Yadiyur,yadiyur,yadiyur,Hassan,hassan,Arkalgud,hassan,Doddabemmathi,150820,616736,62130,11-29-574-05556-616053
